co_municipio;quantidade_alunos;probabilidade_risco_media;probabilidade_risco_mediana;probabilidade_risco_p90;taxa_alertas;taxa_nao_alfabetizado_real;falsos_negativos;taxa_falsos_negativos;co_uf;dependencia_predominante;atlas_idhm_median;atlas_idhm_e_median;atlas_renda_pc_median;atlas_indice_gini_median;atlas_prop_pobreza_criancas_median;atlas_taxa_criancas_dom_sem_fund_median;censo_prop_mat_2ano_internet_aprendizagem_median;censo_prop_mat_2ano_alimentacao_median;censo_prop_mat_2ano_biblioteca_sala_leitura_median;fundeb_receita_contribuicao_median;fundeb_complementacao_uniao_median;fundeb_receita_total_median;indicador_meta_final_2025_median;indicador_pc_aluno_alfabetizado_2024_median;taxa_alfabetizacao_real_pct;taxa_alfabetizacao_predita_prob_pct;taxa_alertas_pct;sg_uf;no_municipio;rotulo_municipio;percentil_risco_relativo;faixa_risco_relativo;meta_2025_pct;alfabetizacao_2024_pct;gap_previsto_meta_pp;situacao_meta
4109708;307;0.31097620833792394;0.31097620833792394;0.31097620833792394;0.0;0.1791530944625407;55;0.1791530944625407;41;3.0;0.71;0.596;787.74;0.62;20.13;34.54;0.9467787114845938;1.0;0.8879551820728291;23047754.34;687902.13;23735656.47;75.07;71.64;82.08469055374593;68.90237916620761;0.0;PR;Ibaiti;Ibaiti - PR;0.1962809917355372;Baixo;75.07;71.64;-6.167620833792384;Risco elevado de não atingir
3553609;102;0.43981782365116046;0.4398178236511605;0.4398178236511605;0.0;0.17647058823529413;18;0.17647058823529413;35;3.0;0.751;0.692;637.12;0.4;8.98;24.34;1.0;1.0;0.5299145299145299;14484298.03;1918633.09;16402931.12;62.16;79.51;82.35294117647058;56.018217634883946;0.0;SP;Tapiratiba;Tapiratiba - SP;0.43388429752066116;Moderado;62.16;79.51;-6.14178236511605;Risco elevado de não atingir
2103554;144;0.5064934156412311;0.5064934156412311;0.5064934156412311;1.0;0.4861111111111111;0;0.0;21;3.0;0.512;0.37;170.79;0.51;67.98;63.34;0.967032967032967;1.0;0.0;22417538.54;31374262.97;53791801.51;55.49;54.26;51.388888888888886;49.350658435876895;100.0;MA;Conceição do Lago-Açu;Conceição do Lago-Açu - MA;0.5826446280991735;Moderado;55.49;54.26;-6.139341564123107;Risco elevado de não atingir
2910008;143;0.5511194874064769;0.5511194874064769;0.5511194874064769;1.0;0.4405594405594406;0;0.0;29;3.0;0.54;0.392;206.16;0.54;70.34;58.43;0.6621621621621622;1.0;0.3310810810810811;18077390.54;15206215.34;33283605.88;51.02;41.07;55.94405594405594;44.88805125935231;100.0;BA;Dário Meira;Dário Meira - BA;0.7086776859504132;Alto;51.02;41.07;-6.131948740647694;Risco elevado de não atingir
1303502;226;0.5419562230908919;0.5419562230908919;0.5419562230908919;1.0;0.5132743362831859;0;0.0;13;3.0;0.496;0.317;218.21;0.72;73.81;62.31;0.116580310880829;1.0;0.2901554404145077;17723420.52;14808181.57;32531602.09;51.88;48.43;48.67256637168141;45.80437769091081;100.0;AM;Pauini;Pauini - AM;0.6797520661157025;Moderado;51.88;48.43;-6.075622309089191;Risco elevado de não atingir
4109302;190;0.2606717454145627;0.2606717454145627;0.2606717454145627;0.0;0.18421052631578946;35;0.18421052631578946;41;3.0;0.677;0.528;614.94;0.54;28.12;47.0;1.0;1.0;1.0;11314052.63;375119.04;11689171.67;80.0;71.17;81.57894736842105;73.93282545854373;0.0;PR;Guaraniaçu;Guaraniaçu - PR;0.10330578512396695;Baixo;80.0;71.17;-6.067174541456268;Risco elevado de não atingir
3136900;147;0.27087741621975403;0.27087741621975403;0.27087741621975403;0.0;0.1564625850340136;23;0.1564625850340136;31;3.0;0.723;0.553;1122.1;0.64;7.13;45.12;0.8091603053435115;1.0;1.0;8974930.12;222845.92;9197776.04;78.94;82.69;84.35374149659864;72.9122583780246;0.0;MG;Juruaia;Juruaia - MG;0.11776859504132231;Baixo;78.94;82.69;-6.0277416219753945;Risco elevado de não atingir
3201506;1223;0.3036293019018726;0.3035251708336347;0.3035251708336347;0.0;0.1349141455437449;165;0.1349141455437449;32;3.0;0.746;0.668;788.29;0.51;10.52;24.7;0.9967159277504104;1.0;0.7331691297208539;115911788.29;15460990.39;131372778.68;75.66;77.5;86.50858544562551;69.63706980981274;0.0;ES;Colatina;Colatina - ES;0.17768595041322313;Baixo;75.66;77.5;-6.022930190187253;Risco elevado de não atingir
3168408;128;0.3281900679830059;0.3323098371715705;0.3323098371715705;0.0;0.265625;34;0.265625;31;2.0;0.633;0.499;364.41;0.47;35.78;48.19;0.9393939393939394;1.0;0.9090909090909092;4461466.74;0.0;4461466.74;73.13;77.47;73.4375;67.18099320169941;0.0;MG;Tarumirim;Tarumirim - MG;0.21487603305785125;Baixo;73.13;77.47;-5.949006798300587;Risco elevado de não atingir
2513406;152;0.42895178999844663;0.42895178999844663;0.42895178999844663;0.0;0.3092105263157895;47;0.3092105263157895;25;3.0;0.682;0.635;379.3;0.51;44.89;36.91;1.0;1.0;0.7290322580645161;9966590.73;2442913.18;12409503.91;63.05;54.05;69.07894736842105;57.10482100015534;0.0;PB;Santa Luzia;Santa Luzia - PB;0.41115702479338845;Moderado;63.05;54.05;-5.945178999844657;Risco elevado de não atingir
