co_municipio;quantidade_alunos;probabilidade_risco_media;probabilidade_risco_mediana;probabilidade_risco_p90;taxa_alertas;taxa_nao_alfabetizado_real;falsos_negativos;taxa_falsos_negativos;co_uf;dependencia_predominante;atlas_idhm_median;atlas_idhm_e_median;atlas_renda_pc_median;atlas_indice_gini_median;atlas_prop_pobreza_criancas_median;atlas_taxa_criancas_dom_sem_fund_median;censo_prop_mat_2ano_internet_aprendizagem_median;censo_prop_mat_2ano_alimentacao_median;censo_prop_mat_2ano_biblioteca_sala_leitura_median;fundeb_receita_contribuicao_median;fundeb_complementacao_uniao_median;fundeb_receita_total_median;indicador_meta_final_2025_median;indicador_pc_aluno_alfabetizado_2024_median;taxa_alfabetizacao_real_pct;taxa_alfabetizacao_predita_prob_pct;taxa_alertas_pct;sg_uf;no_municipio;rotulo_municipio
3156106;59;0.29885536194475226;0.29885536194475226;0.29885536194475226;0.0;0.06779661016949153;4;0.06779661016949153;31;3.0;0.653;0.526;453.87;0.44;21.22;49.08;0.8043478260869565;1.0;1.0;2658982.47;58333.01;2717315.48;69.35;81.94;93.22033898305084;70.11446380552478;0.0;MG;Ritápolis;Ritápolis - MG
3157708;210;0.4888798428250354;0.4888798428250354;0.4888798428250354;0.0;0.3476190476190476;73;0.3476190476190476;31;3.0;0.706;0.558;735.0;0.43;5.07;26.9;0.7747747747747747;1.0;0.536036036036036;11452839.38;379973.71;11832813.09;68.42;58.13;65.23809523809524;51.11201571749646;0.0;MG;Santa Juliana;Santa Juliana - MG
3158300;78;0.2934708223942029;0.2826437320637113;0.3128049122700808;0.0;0.07692307692307693;6;0.07692307692307693;31;3.0;0.698;0.587;553.7;0.4;13.65;40.4;1.0;1.0;1.0;3367661.11;0.0;3367661.11;69.72;87.45;92.3076923076923;70.65291776057971;0.0;MG;Santana da Vargem;Santana da Vargem - MG
3158706;20;0.3025394143866559;0.3025394143866559;0.3025394143866559;0.0;0.1;2;0.1;31;3.0;0.667;0.558;452.48;0.54;39.41;45.01;1.0;1.0;1.0;2072578.49;0.0;2072578.49;57.92;87.26;90.0;69.74605856133441;0.0;MG;Santana do Garambéu;Santana do Garambéu - MG
3161007;134;0.28948539172577004;0.28948539172577004;0.28948539172577004;0.0;0.23134328358208955;31;0.23134328358208955;31;3.0;0.69;0.593;531.92;0.49;27.48;36.27;0.0;1.0;0.7714285714285715;11037597.22;0.0;11037597.22;72.5;84.25;76.86567164179104;71.051460827423;0.0;MG;São Domingos do Prata;São Domingos do Prata - MG
3161106;734;0.5001943352802221;0.5123675065944635;0.5123675065944635;0.5095367847411444;0.3446866485013624;130;0.1771117166212534;31;3.0;0.638;0.542;325.23;0.55;53.88;37.88;0.5519287833827893;1.0;0.9614243323442137;37819565.87;2362868.98;40182434.85;57.15;58.24;65.53133514986375;49.980566471977795;50.95367847411444;MG;São Francisco;São Francisco - MG
3161403;45;0.3122518611126316;0.3122518611126316;0.3122518611126316;0.0;0.17777777777777778;8;0.17777777777777778;31;3.0;0.663;0.541;449.2;0.47;28.34;41.87;1.0;1.0;1.0;3464891.58;0.0;3464891.58;66.11;78.59;82.22222222222221;68.77481388873684;0.0;MG;São Francisco do Glória;São Francisco do Glória - MG
3162450;58;0.624962423412863;0.624962423412863;0.624962423412863;1.0;0.5172413793103449;0;0.0;31;3.0;0.529;0.381;181.77;0.51;67.79;57.44;0.4776119402985074;1.0;0.7574626865671642;8310644.95;0.0;8310644.95;53.33;33.42;48.275862068965516;37.503757658713695;100.0;MG;São João das Missões;São João das Missões - MG
3162559;150;0.3559358383528355;0.3559358383528355;0.3559358383528355;0.0;0.18666666666666668;28;0.18666666666666668;31;3.0;0.65;0.498;484.15;0.57;34.68;51.78;0.8797814207650273;1.0;1.0;13875058.83;3895728.18;17770787.01;77.7;71.72;81.33333333333333;64.40641616471645;0.0;MG;São João do Manhuaçu;São João do Manhuaçu - MG
3162955;351;0.37477026847493655;0.37477026847493655;0.37477026847493655;0.0;0.2849002849002849;100;0.2849002849002849;31;3.0;0.729;0.679;540.26;0.42;17.75;25.13;1.0;1.0;0.7343283582089553;29119510.62;1009948.54;30129459.16;68.1;75.09;71.50997150997152;62.522973152506346;0.0;MG;São José da Lapa;São José da Lapa - MG
